ds,yhat
2024-04-27,172.09245894438604
2024-04-28,171.91302095855534
2024-04-29,172.36734269126478
2024-04-30,172.0578051769994
2024-05-01,171.95164921304865
2024-05-02,171.62364325435365
2024-05-03,171.40736762839916
2024-05-04,170.77670895702056
2024-05-05,170.58930054550018
2024-05-06,171.0448851559649
2024-05-07,170.7464750689312
2024-05-08,170.6618458865759
2024-05-09,170.36618300712553
2024-05-10,170.19334650195265
2024-05-11,169.61734887485147
2024-05-12,169.4957819941392
2024-05-13,170.02817006870632
2024-05-14,169.8171239379247
2024-05-15,169.8298333971024
2024-05-16,169.6407166503791
2024-05-17,169.58269267455458
2024-05-18,169.128670911996
2024-05-19,169.13499440897024
2024-05-20,169.79981298608288
2024-05-21,169.72426132168962
2024-05-22,169.87397818428224
2024-05-23,169.82178533394762
2024-05-24,169.89899123093602
2024-05-25,169.5769132648826
2024-05-26,169.7103538732805
2024-05-27,170.49600636229252
2024-05-28,170.53366452926022
2024-05-29,170.78777155228113
2024-05-30,170.8301259255003
2024-05-31,170.99120888414907
2024-06-01,170.74172640364404
2024-06-02,170.93610059293587
2024-06-03,171.7708858420453
2024-06-04,171.84598347784038
2024-06-05,172.12619016600803
2024-06-06,172.18389773602703
2024-06-07,172.35040890174028
2024-06-08,172.09746212258773
2024-06-09,172.28070071753805
2024-06-10,173.09806201020706
2024-06-11,173.15096079735997
2024-06-12,173.40580302595708
2024-06-13,173.43664809919542
2024-06-14,173.57648510836762
2024-06-15,173.2987171230377
2024-06-16,173.46058958242935
2024-06-17,174.26153952007186
2024-06-18,174.304340868061
2024-06-19,174.55658265867703
2024-06-20,174.59329943223932
2024-06-21,174.74821997073786
2024-06-22,174.49522922584993
2024-06-23,174.69178011473792
2024-06-24,175.53723242339234
2024-06-25,175.63399443433602
2024-06-26,175.94900431795412
2024-06-27,176.056370660427
2024-06-28,176.28863814973127
2024-06-29,176.1182730267344
2024-06-30,176.4011045523375
2024-07-01,177.33469915373712
2024-07-02,177.5195421456542
2024-07-03,177.92056321471262
2024-07-04,178.1098240757992
2024-07-05,178.4178332649979
2024-07-06,178.3150815495085
2024-07-07,178.65553303418415
2024-07-08,179.63504743842802
2024-07-09,179.85260725972591
2024-07-10,180.27188487020499
2024-07-11,180.46396687890189
2024-07-12,180.75869974076562
2024-07-13,180.62624922695957
2024-07-14,180.92060811119094
2024-07-15,181.83802698187367
2024-07-16,181.97824151051935
2024-07-17,182.30603102757294
2024-07-18,182.39392574306163
2024-07-19,182.57352680142228
2024-07-20,182.3170321968437
2024-07-21,182.4807035134642
2024-07-22,183.26324919770852
2024-07-23,183.2669986633634
2024-07-24,183.45940320463646
2024-07-25,183.41568230881117
2024-07-26,183.47008091560755
2024-07-27,183.09733208092965
2024-07-28,183.15606148202954
2024-07-29,183.8471109515029
2024-07-30,183.77465679371423
2024-07-31,183.90766024980752
2024-08-01,183.82246999792596
2024-08-02,183.85404340243002
2024-08-03,183.4773819781813
2024-08-04,183.55091833028993
2024-08-05,184.2748323722232
2024-08-06,184.25217296498914
2024-08-07,184.4503224930056
2024-08-08,184.4436241651242
2024-08-09,184.5646384065416
2024-08-10,184.28562321341732
2024-08-11,184.4619748996374
2024-08-12,185.29060598623315
2024-08-13,185.37113512311143
2024-08-14,185.66742513091273
2024-08-15,185.75028737916503
2024-08-16,185.94881718415252
2024-08-17,185.73195334326098
2024-08-18,185.9519964473065
2024-08-19,186.80306094148446
2024-08-20,186.88233409453358
2024-08-21,187.15167632439108
2024-08-22,187.1803795870634
2024-08-23,187.29654716960792
2024-08-24,186.96868686180352
2024-08-25,187.0492512354201
2024-08-26,187.7330993427645
2024-08-27,187.61875260732862
2024-08-28,187.66997925246852
2024-08-29,187.45852416268673
2024-08-30,187.31544799537392
2024-08-31,186.7126682758806
2024-09-01,186.50643722979362
2024-09-02,186.89573193483284
2024-09-03,186.48343105466068
2024-09-04,186.23781417625932
2024-09-05,185.73520247047767
2024-09-06,185.3112064267647
2024-09-07,184.44217539261103
2024-09-08,183.9885856877331
2024-09-09,184.1533448637561
2024-09-10,183.54288828571427
2024-09-11,183.12860585215702
2024-09-12,182.4894192071094
2024-09-13,181.96297662849196
2024-09-14,181.02706152254987
2024-09-15,180.54295222997837
2024-09-16,180.71371136378545
2024-09-17,180.14528120190874
2024-09-18,179.80792298647225
2024-09-19,179.2788202043516
2024-09-20,178.893312447405
2024-09-21,178.12635490061788
2024-09-22,177.83594000774283
2024-09-23,178.22145813003988
2024-09-24,177.88487210104893
2024-09-25,177.79224173117805
2024-09-26,177.51641640304643
2024-09-27,177.38836033163707
2024-09-28,176.8787034705781
2024-09-29,176.84125255308123
2024-09-30,177.47143707663002
2024-10-01,177.36756322963478
2024-10-02,177.49241005574376
2024-10-03,177.41598442661902
2024-10-04,177.46689805174992
2024-10-05,177.11395841710936
2024-10-06,177.2097073327398
2024-10-07,177.94888138910866
2024-10-08,177.92966712154896
2024-10-09,178.1152852931167
2024-10-10,178.07672129080302
2024-10-11,178.14406558552875
2024-10-12,177.7880571483226
2024-10-13,177.86356475646585
2024-10-14,178.5679819644635
2024-10-15,178.502410198351
2024-10-16,178.63316618567575
2024-10-17,178.53443261604295
2024-10-18,178.53951793351754
2024-10-19,178.122320107099
2024-10-20,178.14073122176535
2024-10-21,178.79496048219883
2024-10-22,178.68865176910836
2024-10-23,178.790333466082
2024-10-24,178.67602074520218
2024-10-25,178.6804372639707
2024-10-26,178.278451904368
2024-10-27,178.32846789744022
2024-10-28,179.03074213238443
2024-10-29,178.9885107004064
2024-10-30,179.16945800971166
2024-10-31,179.14834899875052
2024-11-01,179.25829047856396
2024-11-02,178.9722160785167
2024-11-03,179.14633077876294
2024-11-04,179.978491301326
2024-11-05,180.06939675637113
2024-11-06,180.38412514301845
2024-11-07,180.49483345693255
2024-11-08,180.73208566856746
2024-11-09,180.5664013328438
2024-11-10,180.8517591973361
2024-11-11,181.78403060283753
2024-11-12,181.96221577033856
2024-11-13,182.35001747915584
2024-11-14,182.51856902859961
2024-11-15,182.7977801426153
2024-11-16,182.6578932430132
2024-11-17,182.95298439921612
2024-11-18,183.87938396484913
2024-11-19,184.03689047958193
2024-11-20,184.39031307863752
2024-11-21,184.51216027216614
2024-11-22,184.7339399286818
2024-11-23,184.52766423545788
2024-11-24,184.74929542677188
2024-11-25,185.59710886879537
2024-11-26,185.67284871074807
2024-11-27,185.9432129849888
2024-11-28,185.98248762352918
2024-11-29,186.12379575256685
2024-11-30,185.84055744674023
2024-12-01,185.9898969867817
2024-12-02,186.77097527271746
2024-12-03,186.786123448085
2024-12-04,187.0023152235944
2024-12-05,186.9937977175353
2024-12-06,187.09334725889224
2024-12-07,186.77374515177675
2024-12-08,186.89120999889298
2024-12-09,187.6437635392639
2024-12-10,187.6324051260908
2024-12-11,187.82263119544484
2024-12-12,187.78711822718049
2024-12-13,187.85703418475796
2024-12-14,187.50357186835117
2024-12-15,187.5814391512538
2024-12-16,188.28728140652782
2024-12-17,188.22090962481698
2024-12-18,188.34686901544922
2024-12-19,188.23716514160623
2024-12-20,188.22261127254177
2024-12-21,187.77438926550218
2024-12-22,187.7475580382316
2024-12-23,188.3394842675898
2024-12-24,188.1510684006354
2024-12-25,188.14830062512092
2024-12-26,187.9049639801026
2024-12-27,187.75394869330296
2024-12-28,187.16877072705012
2024-12-29,187.00702951304547
2024-12-30,187.46878065979953
2024-12-31,187.1576980686526
2025-01-01,187.0425616238044
2025-01-02,186.69988928723248
2025-01-03,186.46517942684375
2025-01-04,185.8143581498275
2025-01-05,185.60716841601976
2025-01-06,186.04547846944666
2025-01-07,185.73438569451088
2025-01-08,185.643653607243
2025-01-09,185.35030219320575
2025-01-10,185.1898186019429
2025-01-11,184.63758392227084
2025-01-12,184.55225351179402
2025-01-13,185.13406884510874
2025-01-14,184.9859771294133
2025-01-15,185.07509625095685
2025-01-16,184.9753448297323
2025-01-17,185.01870367965307
2025-01-18,184.67670342289776
2025-01-19,184.8038745150072
2025-01-20,185.59613621476643
2025-01-21,185.65199913598371
2025-01-22,185.9341171888882
2025-01-23,186.01200682882597
2025-01-24,186.2133979884137
2025-01-25,186.00580950351642
2025-01-26,186.24008337833737
2025-01-27,187.10885258306757
2025-01-28,187.20781529316434
2025-01-29,187.49734980164072
2025-01-30,187.5452866328938
2025-01-31,187.67830106328233
2025-02-01,187.3635179319822
2025-02-02,187.45206242480228
2025-02-03,188.13753114000903
2025-02-04,188.01725624666656
2025-02-05,188.05389715498674
2025-02-06,187.81817669662337
2025-02-07,187.6402257588062
2025-02-08,186.99112924596255
2025-02-09,186.72640826962132
2025-02-10,187.04441429334227
2025-02-11,186.54750962789075
2025-02-12,186.20357041180674
2025-02-13,185.58863088326737
2025-02-14,185.0381347472083
2025-02-15,184.02838838251253
2025-02-16,183.41995263161505
2025-02-17,183.41595067166298
2025-02-18,182.62316802819467
2025-02-19,182.01348239099752
2025-02-20,181.16644339034087
2025-02-21,180.42046929098294
2025-02-22,179.25425628142864
2025-02-23,178.53013779619846
2025-02-24,178.4523718171823
2025-02-25,177.628232408306
2025-02-26,177.0294430829866
2025-02-27,176.23477185499297
2025-02-28,175.5812543863982
2025-03-01,174.5456401466739
2025-03-02,173.9877980583958
2025-03-03,174.10905843937377
2025-03-04,173.51336621343088
2025-03-05,173.168781592421
2025-03-06,172.65014660100928
